Rank,Name,G,GS,GR,GF,W,L,S,HD,IP,ER,R,rRA,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,WP,ERA,RA9,rRA9,rRA9pf,FIP,WHIP,Season,Position
2,양현종,30,30,0,0,12,7,0,0,175.1,75,86,85.15,743,170,33,3,14,50,3,1,141,11,0,3,3.85,4.41,4.37,4.44,3.66,1.25,22,P
3,파노니,14,14,0,0,3,4,0,0,82.2,25,33,29.40,348,78,6,1,5,24,2,0,73,7,0,5,2.72,3.59,3.20,3.28,3.27,1.23,22,P
4,임기영,26,23,3,1,4,13,1,0,129.1,61,63,60.55,555,137,25,1,18,36,5,1,82,0,0,2,4.24,4.38,4.21,4.26,4.81,1.34,22,P
5,이의리,29,28,1,0,10,10,0,0,154.0,66,79,78.80,671,128,26,4,18,74,9,0,161,10,0,7,3.86,4.62,4.61,4.68,4.23,1.31,22,P
6,이준영,75,0,75,8,1,1,1,17,46.1,15,17,16.20,202,41,8,0,3,26,0,3,42,5,0,0,2.91,3.30,3.15,3.19,3.89,1.45,22,P
7,정해영,55,0,55,47,3,7,32,0,56.0,21,21,22.05,238,54,12,1,3,18,0,1,43,4,0,0,3.38,3.38,3.54,3.62,3.44,1.29,22,P
8,전상현,50,0,50,6,5,5,2,16,46.1,17,20,18.65,195,42,10,0,2,16,0,2,53,3,0,2,3.30,3.88,3.62,3.65,2.37,1.25,22,P
9,장현식,54,0,54,5,2,3,1,19,52.0,18,20,23.30,233,54,11,2,4,26,1,3,40,3,0,4,3.12,3.46,4.03,4.07,4.21,1.54,22,P
10,김기훈,5,0,5,0,0,0,0,0,8.2,1,1,1.00,36,4,0,0,0,7,0,0,9,0,0,0,1.04,1.04,1.04,1.01,3.69,1.27,22,P
11,고영창,27,0,27,10,0,1,0,0,24.0,5,5,11.65,104,24,3,0,2,10,3,0,9,0,0,0,1.88,1.88,4.37,4.47,5.52,1.42,22,P
12,장지수,1,0,1,0,0,0,0,0,2.0,0,0,0.00,9,2,0,0,0,1,0,0,1,0,0,1,0.00,0.00,0.00,0.00,4.08,1.50,22,P
13,이승재,1,0,1,0,0,0,0,0,1.0,0,0,0.00,4,0,0,0,0,0,1,0,1,0,0,0,0.00,0.00,0.00,0.00,4.38,0.00,22,P
14,한승혁,24,16,8,2,4,3,0,0,80.1,47,52,52.55,376,100,13,3,4,40,6,0,69,5,0,6,5.27,5.83,5.89,5.97,4.00,1.74,22,P
15,김현수,1,0,1,1,0,0,0,0,2.0,1,1,1.00,9,3,1,0,0,1,0,0,1,0,0,0,4.50,4.50,4.50,4.19,4.08,2.00,22,P
16,장재혁,3,0,3,2,0,0,0,0,3.0,2,2,2.00,15,3,0,0,0,3,0,0,4,0,0,2,6.00,6.00,6.00,6.16,3.55,2.00,22,P
17,홍상삼,24,0,24,6,2,1,0,1,21.2,14,16,14.65,100,19,7,0,3,15,1,0,19,2,0,1,5.82,6.65,6.09,6.17,5.53,1.57,22,P
18,송후섭,1,0,1,0,0,0,0,0,0.1,6,6,5.30,7,4,1,0,0,1,1,0,0,0,0,0,99.99,99.99,143.10,133.34,22.38,15.00,22,P
19,로니,10,9,1,0,3,3,0,0,44.1,29,36,32.40,208,47,7,1,7,28,3,0,32,4,1,2,5.89,7.31,6.58,6.70,6.03,1.69,22,P
20,김도현,4,2,2,1,0,1,0,0,10.2,7,7,6.50,48,14,1,0,2,5,0,0,11,0,0,0,5.91,5.91,5.48,5.08,4.89,1.78,22,P
21,윤중현,47,0,47,4,3,1,0,5,53.2,30,32,30.65,240,63,8,0,4,14,5,0,27,5,0,1,5.03,5.37,5.14,5.28,4.51,1.43,22,P
22,김유신,10,0,10,1,1,0,0,0,14.2,10,11,10.55,70,9,4,0,3,16,0,0,9,1,0,0,6.14,6.75,6.47,6.47,8.07,1.70,22,P
23,최지민,6,0,6,3,0,0,0,0,6.0,9,9,8.65,36,12,2,0,1,5,1,0,7,0,0,1,13.50,13.50,12.98,13.32,5.95,2.83,22,P
