,code,원정팀,홈팀,A,B,승리팀,승리팀구분,date,week,평균기온,일강수량,풍속,습도,경기장,지점명,year
115,20210430S두,SK,두산,4.0,9.0,두산,Home,20210430,금,11.3,26.3,2.4,81.8,서울 잠실 야구장,서울,2021
116,20210430한롯,한화,롯데,11.0,7.0,한화,Away,20210430,금,16.8,1.1,6.7,51.8,부산 사직 야구장,부산,2021
117,20210430L삼,LG,삼성,0.0,4.0,삼성,Home,20210430,금,16.9,0.1,4.1,57.5,대구 삼성 라이온즈 파크,대구,2021
118,20210430기K,기아,KT,3.0,15.0,KT,Home,20210430,금,10.7,22.8,2.3,91.6,수원케이티위즈파크,수원,2021
119,20210430키N,키움,NC,4.0,3.0,키움,Away,20210430,금,16.8,1.0,1.8,40.3,창원NC파크,창원,2021
120,20210501S두,SK,두산,5.0,2.0,SK,Away,20210501,토,10.2,8.0,2.7,80.8,서울 잠실 야구장,서울,2021
121,20210501한롯,한화,롯데,11.0,3.0,한화,Away,20210501,토,12.2,11.5,4.7,69.0,부산 사직 야구장,부산,2021
122,20210501L삼,LG,삼성,2.0,8.0,삼성,Home,20210501,토,12.1,3.7,3.9,77.3,대구 삼성 라이온즈 파크,대구,2021
123,20210501키N,키움,NC,13.0,9.0,키움,Away,20210501,토,11.4,10.6,1.3,65.9,창원NC파크,창원,2021
124,20210501기K,기아,KT,0.0,3.0,KT,Home,20210501,토,10.6,9.1,2.9,85.1,수원케이티위즈파크,수원,2021
125,20210502S두,SK,두산,5.0,8.0,두산,Home,20210502,일,12.4,1.7,3.1,67.9,서울 잠실 야구장,서울,2021
126,20210502한롯,한화,롯데,5.0,4.0,한화,Away,20210502,일,12.6,0.3,4.1,62.6,부산 사직 야구장,부산,2021
127,20210502L삼,LG,삼성,4.0,6.0,삼성,Home,20210502,일,13.6,0.5,3.2,68.0,대구 삼성 라이온즈 파크,대구,2021
128,20210502키N,키움,NC,0.0,5.0,NC,Home,20210502,일,12.7,0.0,1.5,56.4,창원NC파크,창원,2021
129,20210502기K,기아,KT,2.0,9.0,KT,Home,20210502,일,11.7,2.2,2.5,75.9,수원케이티위즈파크,수원,2021
130,20210504L두,LG,두산,,,우천취소,Away,20210504,화,13.8,19.6,2.1,82.6,서울 잠실 야구장,서울,2021
131,20210504기롯,기아,롯데,,,우천취소,Away,20210504,화,16.4,18.5,5.2,85.0,부산 사직 야구장,부산,2021
132,20210504SN,SK,NC,,,우천취소,Away,20210504,화,16.2,63.9,2.1,82.3,창원NC파크,창원,2021
133,20210504K키,KT,키움,,,우천취소,Away,20210504,화,13.8,19.6,2.1,82.6,서울고척스카이돔,서울,2021
134,20210504삼한,삼성,한화,,,우천취소,Away,20210504,화,17.2,5.2,1.4,76.6,대전 한화생명 이글스파크,대전,2021
135,20210505L두,LG,두산,7.0,4.0,LG,Away,20210505,수,13.9,0.1,3.5,64.4,서울 잠실 야구장,서울,2021
136,20210505기롯,기아,롯데,8.0,5.0,기아,Away,20210505,수,18.5,6.0,4.8,47.6,부산 사직 야구장,부산,2021
137,20210505SN,SK,NC,13.0,12.0,SK,Away,20210505,수,18.6,0.4,1.6,39.3,창원NC파크,창원,2021
138,20210505K키,KT,키움,0.0,14.0,키움,Home,20210505,수,13.9,0.1,3.5,64.4,서울고척스카이돔,서울,2021
139,20210505삼한,삼성,한화,4.0,1.0,삼성,Away,20210505,수,15.2,2.3,2.2,57.8,대전 한화생명 이글스파크,대전,2021
140,20210506L두,LG,두산,7.0,2.0,LG,Away,20210506,목,15.7,0.0,2.4,46.4,서울 잠실 야구장,서울,2021
141,20210506기롯,기아,롯데,9.0,17.0,롯데,Home,20210506,목,17.1,0.0,3.0,32.9,부산 사직 야구장,부산,2021
142,20210506SN,SK,NC,1.0,7.0,NC,Home,20210506,목,15.6,0.0,1.3,36.8,창원NC파크,창원,2021
143,20210506K키,KT,키움,4.0,6.0,키움,Home,20210506,목,15.7,0.0,2.4,46.4,서울고척스카이돔,서울,2021
144,20210506삼한,삼성,한화,5.0,6.0,한화,Home,20210506,목,15.8,0.0,1.3,49.1,대전 한화생명 이글스파크,대전,2021
145,20210507한L,한화,LG,,,우천취소,Away,20210507,금,14.4,8.8,3.4,60.3,서울 잠실 야구장,서울,2021
146,20210507키S,키움,SK,,,우천취소,Away,20210507,금,13.8,1.9,4.7,60.0,인천SSG 랜더스필드,인천,2021
147,20210507롯삼,롯데,삼성,1.0,4.0,삼성,Home,20210507,금,18.1,0.0,2.4,43.5,대구 삼성 라이온즈 파크,대구,2021
148,20210507NK,NC,KT,,,우천취소,Away,20210507,금,13.3,8.9,2.9,67.8,수원케이티위즈파크,수원,2021
149,20210507두기,두산,기아,,,우천취소,Away,20210507,금,16.3,0.0,1.9,49.9,광주-기아 챔피언스 필드,광주,2021
150,20210508한L,한화,LG,,,우천취소,Away,20210508,토,14.3,0.0,3.4,66.1,서울 잠실 야구장,서울,2021
