Rank,Name,G,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,Season,Position
33,문선재,29,61,61,49,7,8,0,0,3,17,6,2,1,9,1,0,18,0,0,2,0.163,0.295,0.347,0.642,-0.038,71.3,19,LF
34,류승현,57,163,163,150,14,38,8,1,0,48,14,3,2,9,4,0,29,3,0,0,0.253,0.313,0.320,0.633,-0.040,69.9,19,1B
35,황대인,12,28,28,25,0,5,2,0,0,7,0,0,0,1,2,0,8,0,0,0,0.200,0.286,0.280,0.566,-0.063,50.2,19,1B
36,이정훈,7,15,15,14,0,4,1,0,0,5,3,0,0,0,0,0,1,2,0,1,0.286,0.267,0.357,0.624,-0.070,44.2,19,C
37,나지완,56,153,153,129,12,24,5,0,6,47,17,0,0,19,3,1,37,3,0,2,0.186,0.301,0.364,0.665,-0.028,79.8,19,DH
38,고장혁,22,32,32,31,2,7,0,1,0,9,3,0,1,0,1,0,8,1,0,0,0.226,0.250,0.290,0.540,-0.063,50.6,19,3B
39,박준태,38,47,47,41,13,7,3,0,0,10,4,1,1,4,0,0,15,1,0,2,0.171,0.234,0.244,0.478,-0.104,15.3,19,RF
40,오선우,27,57,57,53,5,8,1,1,1,14,4,0,0,3,1,0,24,0,0,0,0.151,0.211,0.264,0.475,-0.106,13.9,19,RF
41,김민식,53,116,116,96,6,16,2,0,0,18,14,2,0,15,3,0,29,1,0,2,0.167,0.293,0.188,0.481,-0.082,34.3,19,C
42,이우성,32,87,87,80,7,14,1,0,3,24,10,0,0,5,2,0,22,2,0,0,0.175,0.241,0.300,0.541,-0.079,36.5,19,RF
43,오정환,30,29,28,28,8,4,0,0,0,4,1,0,2,0,0,0,12,1,1,0,0.143,0.143,0.143,0.286,-0.186,-49.0,19,2B
44,최원준,90,255,253,232,33,46,11,3,1,66,18,8,4,16,4,0,51,4,2,1,0.198,0.261,0.284,0.545,-0.074,41.6,19,3B
1,최형우,140,600,596,522,93,185,37,1,28,308,115,0,0,70,5,5,101,9,0,3,0.354,0.433,0.590,1.023,0.089,169.8,20,LF
2,터커,142,631,628,542,100,166,40,0,32,302,113,0,2,76,9,3,67,12,0,4,0.306,0.398,0.557,0.955,0.055,144.2,20,RF
3,김선빈,85,351,350,303,42,100,19,0,1,122,37,1,1,40,2,0,43,12,1,5,0.330,0.406,0.403,0.809,0.027,123.4,20,2B
4,나지완,137,556,556,468,73,136,19,1,17,208,92,0,0,64,18,1,114,6,0,6,0.291,0.392,0.444,0.836,0.024,121.3,20,LF
5,한승택,83,262,253,226,22,51,6,0,9,84,29,0,0,21,6,0,58,7,9,0,0.226,0.308,0.372,0.680,-0.033,78.5,20,C
6,최원준,123,412,403,359,72,117,16,6,2,151,35,14,3,33,6,0,35,1,9,5,0.326,0.387,0.421,0.808,0.026,122.0,20,CF
7,김민식,69,238,232,211,22,53,6,1,2,67,21,0,0,17,2,0,28,3,6,2,0.251,0.310,0.318,0.628,-0.047,67.6,20,C
8,황대인,63,138,138,116,14,32,4,0,4,48,16,0,0,21,0,0,29,5,0,1,0.276,0.384,0.414,0.798,0.013,112.4,20,1B
9,황윤호,25,73,73,70,5,17,3,0,0,20,5,2,0,3,0,0,10,3,0,0,0.243,0.274,0.286,0.560,-0.063,54.7,20,3B
10,김호령,89,159,156,138,36,32,5,2,4,53,16,3,3,14,3,0,55,2,3,1,0.232,0.314,0.384,0.698,-0.033,78.0,20,CF
11,백용환,52,107,106,91,12,20,4,0,5,39,10,0,0,15,0,0,29,2,1,0,0.220,0.330,0.429,0.759,-0.008,96.4,20,C
12,류지혁,5,20,20,18,3,6,1,0,0,7,1,1,0,0,2,0,1,2,0,0,0.333,0.400,0.389,0.789,0.048,139.2,20,3B
13,나주환,64,222,218,204,21,57,5,0,6,80,26,0,0,12,1,0,44,6,4,1,0.279,0.321,0.392,0.713,-0.035,76.4,20,3B
14,이창진,22,99,99,88,19,29,8,1,0,39,7,0,1,10,1,0,17,2,0,0,0.330,0.404,0.443,0.847,0.028,123.9,20,CF
15,이진영,32,27,27,22,4,5,1,0,0,6,5,1,0,5,0,0,9,1,0,0,0.227,0.370,0.273,0.643,0.000,102.7,20,RF
16,오선우,59,73,73,67,11,16,0,0,4,28,14,0,0,3,3,0,26,2,0,0,0.239,0.301,0.418,0.719,-0.043,70.2,20,RF
17,박민,6,2,2,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.000,0.500,0.000,0.500,0.024,121.3,20,3B
