Rank,Name,WAR,BT,SB,BR,Def,Rep-Wins,Pos-Wins,GS,GR,GS,GR,GS,GR,Season,Position
32,이창진,0.05,-0.02,-0.04,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18,LF
33,류승현,0.04,0.00,0.01,-0.11,-0.25,0.03,0.03,0.00,0.00,0.00,0.00,0.00,0.00,18,2B
34,김유신,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.14,0.00,0.07,0.06,-0.07,0.07,18,P
35,김지성,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18,3B
36,이영욱,0.00,-0.31,0.01,0.16,0.05,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18,CF
37,박경태,-0.02,0.00,0.00,0.00,0.00,0.00,0.00,,-0.07,,0.04,,-0.02,18,P
38,고영창,-0.03,0.00,0.00,0.00,0.00,0.00,0.00,,-0.03,,0.00,,-0.03,18,P
39,김석환,-0.03,-0.05,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18,1B
40,윤석민,-0.05,0.00,0.00,0.00,0.00,0.00,0.00,-0.33,-0.17,0.22,0.17,-0.07,0.02,18,P
41,심동섭,-0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.10,0.00,0.04,0.00,-0.05,18,P
42,이인행,-0.06,-0.03,0.00,0.00,-0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18,OF
43,김세현,-0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.39,0.00,0.28,0.00,-0.06,18,P
44,하준영,-0.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.25,0.00,0.09,0.00,-0.13,18,P
45,김주형,-0.16,-0.19,0.00,0.00,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18,3B
46,최정민,-0.18,-0.35,-0.09,0.08,-0.28,0.04,0.06,0.00,0.00,0.00,0.00,0.00,0.00,18,2B
47,이민우,-0.18,0.00,0.00,0.00,0.00,0.00,0.00,-0.25,-0.30,0.09,0.21,-0.14,-0.05,18,P
48,박정수,-0.19,0.00,0.00,0.00,0.00,0.00,0.00,,-0.30,,0.08,,-0.19,18,P
49,홍건희,-0.23,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,-0.39,0.03,0.07,0.04,-0.27,18,P
50,오준혁,-0.23,-0.30,0.00,-0.01,0.03,0.01,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,18,LF
1,양현종,8.18,0.00,0.00,0.00,0.00,0.00,0.00,5.10,,3.35,,8.18,,19,P
2,최형우,4.81,3.23,0.01,-0.06,0.26,0.24,-1.03,0.00,0.00,0.00,0.00,0.00,0.00,19,LF
3,김선빈,3.57,0.86,-0.04,-0.10,-0.12,0.19,0.86,0.00,0.00,0.00,0.00,0.00,0.00,19,SS
4,윌랜드,3.02,0.00,0.00,0.00,0.00,0.00,0.00,0.26,,2.66,,3.02,,19,P
5,문경찬,2.43,-0.03,0.00,0.00,0.00,0.00,0.01,0.00,2.05,0.00,0.45,0.00,2.46,19,P
6,전상현,2.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.85,0.00,0.49,0.00,2.30,19,P
7,이창진,2.16,0.39,-0.20,0.02,-0.30,0.20,0.04,0.00,0.00,0.00,0.00,0.00,0.00,19,CF
