날짜,원정,홈,구장,비고
09.20(화),NC2,8두산,잠실,-
09.20(화),KT2,4SSG,문학,-
09.20(화),LG11,1KIA,광주,-
09.20(화),삼성10,2키움,고척,-
09.20(화),롯데8,6한화,대전,-
09.21(수),NC5,1두산,잠실,-
09.21(수),KT4,3SSG,문학,-
09.21(수),LG11,2KIA,광주,-
09.21(수),삼성4,5키움,고척,-
09.21(수),롯데9,0한화,대전,-
09.22(목),롯데7,1LG,잠실,-
09.22(목),한화1,10SSG,문학,-
09.22(목),KT9,7삼성,대구,-
09.22(목),KIA3,1NC,창원,-
09.22(목),두산5,2키움,고척,-
09.23(금),롯데0,1LG,잠실,-
09.23(금),한화4,5SSG,문학,-
09.23(금),KT3,5삼성,대구,-
09.23(금),KIA2,5NC,창원,-
09.23(금),두산1,5키움,고척,-
09.24(토),한화2,0LG,잠실,-
09.24(토),두산5,14SSG,문학,-
09.24(토),KIA3,0NC,창원,-
09.24(토),롯데5,9키움,고척,-
09.25(일),한화3,5두산,잠실,-
09.25(일),LG6,2SSG,문학,-
09.25(일),KIA4,3삼성,대구,-
09.25(일),KT9,1NC,창원,-
09.27(화),키움5,6NC,창원,-
09.27(화),두산4,5KT,수원,-
09.27(화),LG1,0한화,대전,-
09.28(수),삼성3,4NC,창원,-
09.28(수),두산0,8KT,수원,-
09.28(수),LG4,1한화,대전,-
09.29(목),KT5,3LG,잠실,-
09.29(목),키움14,9SSG,문학,-
09.29(목),NC0,3삼성,대구,-
09.29(목),롯데4,5KIA,광주,-
09.29(목),두산6,5한화,대전,-
09.30(금),NC1,2LG,잠실,-
09.30(금),키움3,7SSG,문학,-
09.30(금),두산3,11삼성,대구,-
09.30(금),롯데6,5한화,대전,-
10.01(토),NC2,1LG,잠실,-
10.01(토),두산3,4삼성,대구,-
10.01(토),SSG3,2KIA,광주,-
10.02(일),NC2,0LG,잠실,-
10.02(일),두산1,3롯데,사직,-
10.02(일),KIA10,1한화,대전,-
10.03(월),KIA,LG,잠실,우천취소
10.03(월),두산9,3롯데,사직,-
10.03(월),NC,KT,수원,우천취소
10.03(월),SSG4,7한화,대전,-
10.04(화),KIA8,3LG,잠실,-
10.04(화),삼성3,7KT,수원,-
10.05(수),SSG2,5두산,잠실,-
10.05(수),롯데3,7NC,창원,-
10.05(수),삼성7,4KT,수원,-
10.05(수),LG10,2KIA,광주,-
10.06(목),삼성4,5두산,잠실,-
10.06(목),SSG1,6NC,창원,-
10.06(목),LG3,4KIA,광주,-
10.06(목),키움2,3한화,대전,-
10.07(금),삼성8,2두산,잠실,-
10.07(금),LG7,2NC,창원,-
10.07(금),KT1,11KIA,광주,-
10.08(토),키움5,1두산,잠실,-
10.08(토),LG2,3롯데,사직,-
10.08(토),SSG1,6삼성,대구,-
10.08(토),한화5,6NC,창원,-
10.08(토),KT7,2KIA,광주,-
10.09(일),KT,LG,잠실,우천취소
10.10(월),NC2,5KT,수원,-
10.11(화),KT5,6LG,잠실,-
