날짜,원정,홈,구장,비고
09.23(목),롯데8,9SSG,문학,-
09.23(목),한화1,3KT,수원,-
09.23(목),두산3,1KIA,광주,-
09.23(목),NC1,4키움,고척,-
09.24(금),롯데4,9SSG,문학,-
09.24(금),롯데6,6SSG,문학,-
09.24(금),삼성3,11LG,잠실,-
09.24(금),한화4,1KT,수원,-
09.24(금),두산8,2KIA,광주,-
09.24(금),NC2,3키움,고척,-
09.25(토),한화5,1두산,잠실,-
09.25(토),NC0,1삼성,대구,-
09.25(토),LG0,0KT,수원,-
09.25(토),SSG1,7KIA,광주,-
09.25(토),롯데12,6키움,고척,-
09.26(일),한화3,5두산,잠실,-
09.26(일),NC0,1삼성,대구,-
09.26(일),LG4,0KT,수원,-
09.26(일),SSG5,6KIA,광주,-
09.26(일),롯데2,11키움,고척,-
09.28(화),롯데2,5LG,잠실,-
09.28(화),SSG7,2삼성,대구,-
09.28(화),KIA9,10NC,창원,-
09.28(화),두산1,5KT,수원,-
09.28(화),키움1,1한화,대전,-
09.29(수),KIA1,4NC,창원,-
09.29(수),KIA,NC,창원,우천취소
09.29(수),롯데,LG,잠실,우천취소
09.29(수),SSG,삼성,대구,우천취소
09.29(수),두산8,3KT,수원,-
09.29(수),키움,한화,대전,우천취소
09.30(목),두산4,12LG,잠실,-
09.30(목),KT4,8롯데,사직,-
09.30(목),한화2,6삼성,대구,-
09.30(목),SSG2,6NC,창원,-
09.30(목),키움2,0KIA,광주,-
